typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H4","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","53139","false","-1","N/A",,"false","53139","false",,"false","345743",,"345743","0","true","false",
"C","A","20130101","2013","52","2013","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H4","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45","false","-1","N/A",,"false","45","false",,"false",,"1813","1813","0","true","false",
"C","A","20130101","2013","52","2013","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1140205","true","-1","N/A",,"false","1140205","true",,"false","3825138",,"3825138","6","true","false",
"C","A","20130101","2013","52","2013","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H4","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20655.98","false","8","kg","20655.98","false","20655.98","false","0","false","321827.903",,"321827.903","0","false","true",
"C","A","20130101","2013","52","2013","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H4","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","106.3","false","8","kg","106.3","false","106.3","false","0","false",,"3997.421","3997.421","0","false","true",
"C","A","20130101","2013","52","2013","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H3","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","658325","false","-1","N/A",,"false","658325","false",,"false","2628170",,"2628170","0","true","false",
"C","A","20130101","2013","52","2013","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18516","false","-1","N/A",,"false","18516","false",,"false","77926",,"77926","0","true","false",
"C","A","20130101","2013","52","2013","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20","false","-1","N/A",,"false","20","false",,"false",,"416","416","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H4","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","101699","false","-1","N/A",,"false","101699","false",,"false","450106",,"450106","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H4","HS","true","392620","Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","325","false","-1","N/A",,"false","325","false",,"false",,"261","261","0","true","false",
