typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H4","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","84918","false","-1","N/A",,"false","84918","false",,"false","319348",,"319348","0","true","false",
"C","A","20130101","2013","52","2013","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","65609","false","-1","N/A",,"false","65609","false",,"false","449220",,"449220","0","true","false",
"C","A","20130101","2013","52","2013","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H4","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1053.14","false","8","kg","1053.14","false","1053.14","false","0","false","15818.462",,"15818.462","0","false","true",
"C","A","20130101","2013","52","2013","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H4","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","348","false","8","kg","348","false","348","false","0","false",,"8922.65","8922.65","0","false","true",
"C","A","20130101","2013","52","2013","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H3","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80579","true","-1","N/A",,"false","80579","true",,"false","799877",,"799877","6","true","false",
"C","A","20130101","2013","52","2013","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","855","false","-1","N/A",,"false","855","false",,"false","5456",,"5456","0","true","false",
"C","A","20130101","2013","52","2013","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28","false","-1","N/A",,"false","28","false",,"false",,"682","682","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H4","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49263","false","-1","N/A",,"false","49263","false",,"false","237154",,"237154","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H4","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1483","false","-1","N/A",,"false","1483","false",,"false",,"35664","35664","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13758","false","-1","N/A",,"false","13758","false",,"false","226863",,"226863","0","true","false",
