typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","4","AFG","Afghanistan","M","Import","0","W00","World","0","W00","World","H2","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","27784708",,"27784708","0","true","false",
"C","A","20130101","2013","52","2013","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H4","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","93472648",,"93472648","0","true","false",
"C","A","20130101","2013","52","2013","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H4","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"187405262","187405262","0","true","false",
"C","A","20130101","2013","52","2013","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","181477129",,"181477129","0","true","false",
"C","A","20130101","2013","52","2013","12","DZA","Algeria","X","Export","0","W00","World","0","W00","World","H4","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"19831","19831","0","true","false",
"C","A","20130101","2013","52","2013","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H4","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","82518340.698",,"82518340.698","4","false","true",
"C","A","20130101","2013","52","2013","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H4","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2965199.668","2965199.668","4","false","true",
"C","A","20130101","2013","52","2013","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H3","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","94513264",,"94513264","0","true","false",
"C","A","20130101","2013","52","2013","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4569509",,"4569509","0","true","false",
"C","A","20130101","2013","52","2013","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"281998","281998","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H4","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","32739973",,"32739973","0","true","false",
